Placement_ID|placement_name|alpha|beta|max_x_val|max_y_val|recommended_weekly_spend|calc_type|n
203801092|BAN_PANDORA_DIS_MBA_1X1_640X640_DCM_V_AQS_CXL_NONE_APURL_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554ENTERTAIN|5912.97539117|0.000702748564108|6199.89|5816.0|855.59|0|5
151297891|BAN_CNET_DIS_DSK_1X1_1800X150_DCM_V_QSA_CXL_NONE_PROP_NONE_NTL_NONE_FLEXDESKTOP|6072.0|0.000656888741479|2116.04|5060.0|851.95|3|8
153229042|BAN_PANDORA_DIS_MOB_1X1_1X1_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_F3554ENTERTAINROTINTER|5193.73727708|0.00140657079887|2586.14|5104.0|827.06|0|7
203805907|BAN_PANDORA_DIS_MBA_1X1_640X640_DCM_V_AQS_CXL_NONE_APURL_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554HTTF|5865.86596369|0.000677872436051|6240.84|5783.0|821.26|0|7
153228389|BAN_PANDORA_DIS_MOB_1X1_1X1_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_F3554HTTFROTINTER|5010.48426664|0.0013946422931|2586.18|4851.0|802.42|0|8
153230182|BAN_PANDORA_DIS_MOB_1X1_1X1_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_F3554HHIROTINTER|4756.207439|0.00142767783195|2585.89|4558.0|763.46|0|8
202262358|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554HTTF|4188.26908761|0.00123850220915|4138.88|4182.0|664.66|0|5
213240617|INT_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_PSBG_BEH_NONE_PERS_NONE_NTL_NONE_INTERSTF3554STWHEE(PMPDCX)|4792.8|0.000818345582409|2189.49|3994.0|662.47|3|5
202232941|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_RESPONSIVEDISPLAYENTERTAINM3554|4352.64565468|0.00097162332269|4110.78|4343.0|633.79|0|5
202232938|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554HHI|4040.69529382|0.00111132378963|4074.46|3977.0|609.69|0|6
213282445|INT_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_PSBG_BEH_NONE_PERS_NONE_NTL_NONE_INTERSTF3554ETAT(PMPDCW)|4581.6|0.000817859981663|2190.79|3818.0|606.79|3|3
212377714|INT_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_PSBL_BEH_NONE_PERS_NONE_NTL_NONE_INTERSTF3554HHI(PMCK26)|4424.4|0.000832153425304|2153.16|3687.0|575.07|3|4
213283798|INT_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_PSBG_BEH_NONE_PERS_NONE_NTL_NONE_INTERSTF3554HHI(PMPDCV)|4548.0|0.00075610598266|2369.72|3790.0|543.63|3|3
212377711|INT_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_PSBL_BEH_NONE_PERS_NONE_NTL_NONE_INTERSTF3554STWHEE(PMCK28)|4094.4|0.000914909859696|1958.4|3412.0|540.77|3|3
212414295|INT_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_PSBL_BEH_NONE_PERS_NONE_NTL_NONE_INTERSTF3554ETAT(PMCK27)|3910.8|0.000912556708461|1963.45|3259.0|489.0|3|3
202239085|BAN_CNET_DIS_MOB_1X1_540X90_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_FLEX|19708.8|0.000122758191919|12747.15|16424.0|460.9|3|7
203801080|BAN_PANDORA_DIS_MBA_1X1_640X640_DCM_V_AQS_CXL_NONE_APURL_NONE_NTL_NONE_RESPONSIVEDISPLAYF3554ENTERTAIN|3615.42373087|0.000996876029007|4164.02|3575.0|457.56|0|5
